ZIP_CODE,INSPECTION_TYPE,RESULT,INSPECTION_DATE
10304.0,Initial,Failed for Other R,02/25/2020 10:20:00 AM
11216.0,Initial,Passed,10/16/2020 12:25:00 PM
10011.0,Initial,Passed,10/21/2020 11:15:00 AM
10001.0,Initial,Passed,07/01/2020 07:40:14 AM
10021.0,Initial,Rat Activity,10/15/2020 10:51:01 AM
10002.0,Initial,Rat Activity,12/11/2020 09:53:11 AM
10036.0,Initial,Passed,07/13/2020 10:10:10 AM
11101.0,Initial,Rat Activity,12/10/2020 09:30:00 AM
10036.0,Initial,Rat Activity,10/20/2020 07:55:44 AM
10036.0,BAIT,Bait applied,11/25/2020 10:00:09 AM
10036.0,Compliance,Rat Activity,11/13/2020 10:29:33 AM
11226.0,Initial,Rat Activity,12/02/2020 12:14:06 PM
10467.0,Initial,Passed,10/19/2020 11:57:46 AM
10304.0,Initial,Failed for Other R,08/03/2020 10:50:19 AM
11225.0,Initial,Passed,07/27/2020 09:00:00 AM
10036.0,Initial,Failed for Other R,12/11/2020 06:45:00 AM
11373.0,BAIT,Bait applied,01/06/2020 10:35:36 AM
11373.0,BAIT,Bait applied,01/06/2020 10:23:15 AM
11373.0,BAIT,Bait applied,01/06/2020 10:11:02 PM
11373.0,BAIT,Bait applied,01/06/2020 11:58:47 AM
11217.0,Initial,Failed for Other R,10/15/2020 11:45:00 AM
11373.0,BAIT,Bait applied,01/06/2020 11:02:41 AM
11373.0,BAIT,Bait applied,01/06/2020 11:26:23 AM
11221.0,BAIT,Bait applied,02/12/2020 12:10:29 PM
11373.0,BAIT,Bait applied,03/05/2020 10:15:38 AM
11373.0,BAIT,Bait applied,01/06/2020 11:14:58 AM
11373.0,BAIT,Bait applied,02/21/2020 11:45:12 AM
11373.0,BAIT,Bait applied,01/06/2020 10:50:11 AM
11221.0,BAIT,Bait applied,02/12/2020 12:10:29 PM
11377.0,Compliance,Passed,03/09/2020 11:50:00 AM
11373.0,Compliance,Rat Activity,02/13/2020 10:25:00 AM
11373.0,BAIT,Bait applied,01/06/2020 11:41:29 AM
11373.0,Initial,Rat Activity,11/05/2020 08:50:33 AM
11373.0,BAIT,Bait applied,02/26/2020 10:10:11 AM
10023.0,BAIT,Monitoring visit,02/27/2020 09:23:09 AM
11373.0,BAIT,Bait applied,02/19/2020 11:30:48 AM
10028.0,Initial,Rat Activity,12/09/2020 09:27:01 AM
10019.0,Initial,Passed,06/15/2020 09:45:31 AM
11373.0,BAIT,Bait applied,02/06/2020 11:20:51 AM
11377.0,BAIT,Bait applied,03/05/2020 10:50:24 AM
10455.0,Initial,Passed,12/04/2020 12:45:00 PM
10310.0,Initial,Failed for Other R,10/06/2020 08:50:09 AM
11373.0,BAIT,Bait applied,02/11/2020 12:00:13 PM
10310.0,Initial,Failed for Other R,12/02/2020 11:25:54 AM
11377.0,BAIT,Bait applied,03/05/2020 10:30:28 AM
10028.0,Initial,Passed,12/09/2020 09:00:01 AM
11237.0,BAIT,Monitoring visit,02/14/2020 09:34:45 AM
10310.0,Compliance,Failed for Other R,11/20/2020 08:55:00 AM
11237.0,BAIT,Monitoring visit,02/14/2020 09:34:45 AM
10303.0,Initial,Passed,10/13/2020 12:25:00 PM
11355.0,Initial,Rat Activity,10/20/2020 08:00:06 AM
11369.0,Compliance,Passed,03/06/2020 02:25:00 PM
10039.0,Initial,Rat Activity,07/02/2020 11:00:36 AM
10039.0,Compliance,Passed,10/28/2020 01:19:40 PM
10028.0,Initial,Rat Activity,12/08/2020 11:39:16 AM
10028.0,Initial,Rat Activity,12/08/2020 10:37:16 AM
10039.0,Initial,Passed,11/23/2020 02:26:20 PM
11216.0,BAIT,Bait applied,02/11/2020 09:00:00 AM
10031.0,Initial,Rat Activity,12/08/2020 03:30:39 PM
11377.0,Initial,Rat Activity,09/02/2020 10:30:00 AM
10310.0,Initial,Passed,12/02/2020 11:45:42 AM
11354.0,Initial,Rat Activity,10/09/2020 11:42:56 AM
11233.0,BAIT,Bait applied,02/11/2020 02:03:02 PM
11221.0,BAIT,Monitoring visit,01/30/2020 09:45:00 AM
11221.0,BAIT,Bait applied,02/25/2020 01:40:00 PM
10301.0,Initial,Passed,12/08/2020 08:55:39 AM
11233.0,BAIT,Bait applied,02/11/2020 02:03:02 PM
10021.0,BAIT,Bait applied,02/14/2020 11:15:54 AM
10021.0,BAIT,Bait applied,02/14/2020 11:15:54 AM
10029.0,BAIT,Bait applied,02/05/2020 11:00:00 AM
10474.0,BAIT,Bait applied,02/18/2020 10:25:08 AM
11221.0,BAIT,Monitoring visit,01/30/2020 09:45:00 AM
10032.0,Compliance,Rat Activity,12/24/2020 09:35:29 AM
11207.0,BAIT,Monitoring visit,09/14/2020 01:36:34 AM
10032.0,Initial,Rat Activity,11/25/2020 10:50:24 AM
11201.0,Initial,Passed,09/02/2020 10:10:28 AM
10030.0,BAIT,Bait applied,07/09/2020 09:10:00 AM
11216.0,BAIT,Bait applied,01/31/2020 11:11:03 AM
11205.0,BAIT,Bait applied,01/31/2020 12:14:20 PM
11221.0,BAIT,Bait applied,02/06/2020 10:50:00 AM
11213.0,BAIT,Bait applied,02/11/2020 01:19:00 PM
11238.0,BAIT,Bait applied,02/05/2020 09:52:56 AM
11233.0,BAIT,Bait applied,02/11/2020 01:45:43 PM
11213.0,BAIT,Bait applied,02/11/2020 01:19:00 PM
11237.0,BAIT,Bait applied,02/28/2020 10:50:09 AM
10001.0,BAIT,Bait applied,02/14/2020 08:50:59 AM
11221.0,BAIT,Bait applied,02/27/2020 01:00:00 AM
11238.0,BAIT,Bait applied,02/05/2020 09:52:56 AM
11237.0,BAIT,Bait applied,02/28/2020 10:50:09 AM
10001.0,BAIT,Bait applied,02/14/2020 08:50:59 AM
11385.0,BAIT,Bait applied,01/30/2020 10:50:58 AM
11221.0,BAIT,Bait applied,02/24/2020 02:09:00 AM
11233.0,BAIT,Bait applied,02/11/2020 01:45:43 PM
11221.0,BAIT,Bait applied,02/04/2020 12:05:19 PM
11211.0,BAIT,Bait applied,02/03/2020 10:20:28 AM
11205.0,BAIT,Bait applied,01/27/2020 10:15:45 AM
11216.0,BAIT,Bait applied,02/11/2020 10:17:00 AM
10029.0,BAIT,Bait applied,02/19/2020 10:00:00 AM
11238.0,BAIT,Bait applied,02/11/2020 11:00:55 AM
11201.0,BAIT,Bait applied,02/05/2020 11:40:55 AM
10458.0,BAIT,Bait applied,02/18/2020 01:40:08 PM
11205.0,BAIT,Bait applied,01/27/2020 10:15:45 AM
11205.0,BAIT,Bait applied,01/28/2020 12:05:44 PM
11238.0,BAIT,Bait applied,02/11/2020 11:00:55 AM
11373.0,BAIT,Bait applied,02/21/2020 12:05:35 AM
11211.0,BAIT,Bait applied,01/27/2020 10:25:18 AM
10002.0,BAIT,Bait applied,02/06/2020 11:40:00 AM
10009.0,Compliance,Passed,02/10/2020 01:57:00 PM
10001.0,BAIT,Bait applied,02/10/2020 12:01:08 AM
10003.0,Initial,Failed for Other R,01/30/2020 11:15:00 AM
11221.0,BAIT,Bait applied,02/28/2020 01:50:00 PM
11216.0,BAIT,Bait applied,02/11/2020 10:17:00 AM
11201.0,BAIT,Bait applied,02/05/2020 11:40:55 AM
10029.0,BAIT,Bait applied,02/19/2020 10:51:00 AM
11237.0,BAIT,Bait applied,02/04/2020 10:47:06 AM
11211.0,BAIT,Bait applied,01/27/2020 10:25:18 AM
10011.0,BAIT,Bait applied,02/09/2020 12:44:53 PM
10011.0,BAIT,Bait applied,02/09/2020 12:44:53 PM
11213.0,BAIT,Bait applied,02/11/2020 12:40:35 PM
10003.0,Compliance,Passed,01/30/2020 11:15:00 AM
10009.0,Initial,Passed,02/10/2020 01:57:00 PM
10001.0,BAIT,Bait applied,02/10/2020 12:01:08 AM
11373.0,BAIT,Bait applied,02/21/2020 12:05:35 AM
10128.0,BAIT,Bait applied,02/06/2020 11:45:00 AM
11237.0,BAIT,Bait applied,02/04/2020 01:27:18 PM
10458.0,BAIT,Bait applied,02/18/2020 01:40:08 PM
10031.0,Initial,Passed,08/10/2020 11:10:40 AM
10031.0,Compliance,Failed for Other R,02/07/2020 11:00:21 AM
10027.0,BAIT,Bait applied,01/31/2020 12:50:36 PM
11238.0,BAIT,Monitoring visit,12/11/2020 08:30:00 AM
10019.0,Initial,Rat Activity,12/29/2020 12:45:25 PM
10027.0,STOPPAGE,Stoppage done,02/26/2020 01:49:02 PM
11205.0,BAIT,Monitoring visit,01/30/2020 10:05:00 AM
10027.0,BAIT,Bait applied,02/05/2020 10:34:48 AM
11385.0,BAIT,Bait applied,02/24/2020 12:50:26 PM
11206.0,BAIT,Bait applied,02/25/2020 09:17:00 AM
10457.0,BAIT,Bait applied,02/21/2020 12:15:00 PM
11221.0,BAIT,Bait applied,01/28/2020 09:15:00 AM
11216.0,BAIT,Bait applied,02/11/2020 02:29:44 PM
10009.0,Initial,Passed,02/10/2020 03:07:00 PM
10003.0,BAIT,Bait applied,02/11/2020 10:00:13 AM
10003.0,BAIT,Bait applied,02/11/2020 10:00:13 AM
11205.0,BAIT,Monitoring visit,01/30/2020 10:05:00 AM
11206.0,BAIT,Bait applied,01/30/2020 02:07:46 PM
11377.0,BAIT,Bait applied,02/21/2020 12:25:00 PM
10451.0,BAIT,Bait applied,02/19/2020 11:30:59 AM
11216.0,BAIT,Bait applied,02/07/2020 09:53:51 AM
10027.0,BAIT,Bait applied,02/05/2020 10:34:48 AM
11221.0,BAIT,Bait applied,02/06/2020 11:12:00 AM
11206.0,BAIT,Monitoring visit,07/21/2020 11:12:00 AM
10016.0,Compliance,Rat Activity,01/30/2020 03:39:36 PM
10002.0,BAIT,Bait applied,02/06/2020 11:40:00 AM
11103.0,Initial,Passed,12/29/2020 09:15:00 AM
10009.0,BAIT,Bait applied,01/21/2020 08:35:08 AM
11237.0,BAIT,Bait applied,01/30/2020 11:45:00 AM
10451.0,BAIT,Bait applied,02/19/2020 11:30:59 AM
11377.0,BAIT,Bait applied,02/21/2020 12:25:00 PM
11221.0,BAIT,Bait applied,02/06/2020 11:12:00 AM
11106.0,BAIT,Bait applied,01/17/2020 10:14:19 AM
11201.0,BAIT,Bait applied,02/05/2020 01:00:46 PM
10029.0,BAIT,Bait applied,01/27/2020 10:30:23 AM
10029.0,BAIT,Bait applied,02/21/2020 11:25:48 AM
11201.0,BAIT,Bait applied,02/05/2020 01:00:46 PM
11216.0,BAIT,Bait applied,02/07/2020 09:53:51 AM
10457.0,BAIT,Bait applied,02/21/2020 12:15:00 PM
11206.0,BAIT,Monitoring visit,02/25/2020 09:17:00 AM
11385.0,BAIT,Bait applied,02/05/2020 10:55:10 AM
10002.0,BAIT,Bait applied,02/06/2020 11:40:00 AM
11211.0,BAIT,Bait applied,01/27/2020 11:30:00 AM
10027.0,STOPPAGE,Stoppage done,02/26/2020 01:49:02 PM
11233.0,BAIT,Bait applied,02/12/2020 12:15:00 PM
10029.0,BAIT,Bait applied,02/21/2020 11:25:48 AM
11385.0,BAIT,Bait applied,01/22/2020 11:52:00 AM
10009.0,BAIT,Bait applied,01/21/2020 08:35:08 AM
10009.0,Compliance,Passed,02/10/2020 03:07:00 PM
11221.0,BAIT,Bait applied,01/28/2020 09:15:00 AM
11238.0,BAIT,Bait applied,02/05/2020 01:22:09 PM
11237.0,BAIT,Bait applied,01/29/2020 10:00:27 AM
11233.0,BAIT,Bait applied,02/12/2020 12:15:00 PM
11106.0,BAIT,Bait applied,01/17/2020 10:14:19 AM
11216.0,BAIT,Bait applied,02/11/2020 11:40:07 AM
11101.0,BAIT,Bait applied,01/17/2020 10:52:00 AM
11221.0,BAIT,Monitoring visit,07/17/2020 09:12:00 AM
11216.0,BAIT,Bait applied,02/11/2020 02:29:44 PM
11385.0,BAIT,Bait applied,02/24/2020 12:50:26 PM
11216.0,BAIT,Bait applied,02/11/2020 11:40:07 AM
10016.0,Initial,Rat Activity,01/30/2020 03:39:36 PM
11213.0,BAIT,Bait applied,02/11/2020 12:40:35 PM
11225.0,BAIT,Monitoring visit,02/12/2020 02:45:44 PM
11385.0,BAIT,Bait applied,02/05/2020 10:55:10 AM
11208.0,Initial,Passed,11/24/2020 11:46:49 AM
11385.0,BAIT,Bait applied,01/22/2020 11:52:00 AM
10012.0,BAIT,Bait applied,02/19/2020 11:46:14 AM
10025.0,BAIT,Bait applied,02/19/2020 11:19:00 AM
11238.0,BAIT,Bait applied,02/05/2020 10:10:17 AM
10029.0,BAIT,Monitoring visit,02/06/2020 11:50:15 AM
11237.0,BAIT,Bait applied,02/28/2020 11:25:49 AM
10002.0,BAIT,Bait applied,02/04/2020 11:30:00 AM
11213.0,BAIT,Bait applied,02/05/2020 10:07:40 AM
11377.0,BAIT,Monitoring visit,02/12/2020 10:45:26 AM
10002.0,BAIT,Bait applied,01/21/2020 08:25:21 AM
11378.0,BAIT,Bait applied,02/12/2020 12:40:39 PM
10035.0,BAIT,Bait applied,02/06/2020 10:10:15 AM
11216.0,BAIT,Bait applied,02/26/2020 02:20:00 PM
10002.0,BAIT,Bait applied,02/04/2020 11:30:00 AM
10029.0,BAIT,Bait applied,02/05/2020 11:00:00 AM
11221.0,BAIT,Bait applied,02/06/2020 10:26:00 AM
11221.0,BAIT,Bait applied,01/29/2020 03:36:46 PM
10009.0,BAIT,Bait applied,01/21/2020 08:35:08 AM
10454.0,Compliance,Rat Activity,02/18/2020 02:57:00 PM
11238.0,BAIT,Bait applied,02/05/2020 10:10:17 AM
10003.0,Initial,Rat Activity,02/11/2020 01:05:00 PM
11237.0,BAIT,Bait applied,02/04/2020 09:10:00 AM
11235.0,BAIT,Bait applied,02/11/2020 11:05:07 AM
10035.0,BAIT,Bait applied,01/24/2020 01:05:15 PM
11238.0,BAIT,Bait applied,02/04/2020 09:52:00 AM
11238.0,BAIT,Bait applied,01/28/2020 12:35:44 PM
10035.0,BAIT,Bait applied,02/06/2020 10:10:15 AM
11206.0,BAIT,Bait applied,02/03/2020 11:50:57 AM
10026.0,STOPPAGE,Stoppage done,02/26/2020 01:49:01 PM
11221.0,BAIT,Bait applied,01/30/2020 12:48:46 PM
10002.0,BAIT,Bait applied,02/04/2020 11:30:00 AM
11221.0,BAIT,Bait applied,02/06/2020 10:07:00 AM
11212.0,BAIT,Bait applied,02/18/2020 11:55:00 AM
11238.0,BAIT,Bait applied,02/11/2020 10:39:35 AM
10012.0,BAIT,Bait applied,02/19/2020 11:46:14 AM
11238.0,BAIT,Bait applied,02/05/2020 09:35:23 AM
10029.0,BAIT,Bait applied,02/05/2020 11:00:00 AM
10029.0,BAIT,Bait applied,01/24/2020 12:45:15 PM
11237.0,BAIT,Monitoring visit,02/13/2020 10:33:00 AM
11206.0,BAIT,Bait applied,03/04/2020 10:20:27 AM
11226.0,BAIT,Bait applied,02/13/2020 11:40:00 AM
10009.0,BAIT,Bait applied,01/21/2020 08:35:08 AM
10028.0,BAIT,Bait applied,01/29/2020 09:37:00 AM
11221.0,BAIT,Bait applied,02/06/2020 10:26:00 AM
10002.0,BAIT,Bait applied,01/21/2020 08:25:21 AM
10009.0,BAIT,Bait applied,01/21/2020 10:50:48 AM
10002.0,BAIT,Bait applied,01/21/2020 08:25:21 AM
11237.0,BAIT,Bait applied,02/04/2020 01:27:18 PM
10003.0,Compliance,Rat Activity,02/11/2020 01:05:00 PM
11205.0,BAIT,Bait applied,02/05/2020 10:50:19 AM
11238.0,BAIT,Bait applied,02/05/2020 09:35:23 AM
10029.0,BAIT,Bait applied,02/05/2020 11:00:00 AM
11237.0,BAIT,Bait applied,01/29/2020 10:00:27 AM
10002.0,BAIT,Bait applied,02/04/2020 11:30:00 AM
11237.0,BAIT,Bait applied,02/04/2020 09:40:00 AM
11385.0,BAIT,Bait applied,01/22/2020 11:52:00 AM
11211.0,BAIT,Bait applied,02/28/2020 09:35:47 AM
10009.0,BAIT,Bait applied,01/21/2020 10:50:48 AM
11216.0,BAIT,Bait applied,02/07/2020 09:53:51 AM
11238.0,Compliance,Rat Activity,02/19/2020 11:40:00 AM
11216.0,BAIT,Bait applied,02/05/2020 10:52:48 AM
11237.0,BAIT,Bait applied,02/27/2020 01:58:00 AM
10032.0,Initial,Rat Activity,01/31/2020 12:25:00 PM
11206.0,BAIT,Bait applied,01/27/2020 11:55:49 AM
11217.0,BAIT,Bait applied,02/05/2020 11:25:49 AM
11211.0,BAIT,Bait applied,01/27/2020 11:30:00 AM
11237.0,BAIT,Bait applied,02/04/2020 09:10:00 AM
10029.0,BAIT,Bait applied,02/19/2020 10:23:00 AM
11237.0,BAIT,Bait applied,01/29/2020 10:00:27 AM
11219.0,BAIT,Bait applied,02/10/2020 12:10:09 PM
11101.0,BAIT,Bait applied,01/17/2020 11:50:00 AM
11217.0,BAIT,Bait applied,02/05/2020 11:25:49 AM
10009.0,BAIT,Bait applied,02/03/2020 11:05:00 AM
11377.0,BAIT,Monitoring visit,02/12/2020 10:45:26 AM
11221.0,BAIT,Bait applied,02/06/2020 10:50:00 AM
11201.0,BAIT,Bait applied,02/05/2020 01:15:09 PM
11372.0,BAIT,Bait applied,02/18/2020 11:40:05 AM
11221.0,BAIT,Bait applied,02/06/2020 10:07:00 AM
11210.0,BAIT,Bait applied,02/18/2020 01:45:18 PM
11385.0,BAIT,Bait applied,01/30/2020 10:50:58 AM
10026.0,STOPPAGE,Stoppage done,02/26/2020 01:49:01 PM
10033.0,Compliance,Rat Activity,01/22/2020 01:51:00 PM
11385.0,BAIT,Bait applied,02/05/2020 11:18:10 AM
10032.0,Compliance,Rat Activity,01/31/2020 12:25:00 PM
11221.0,BAIT,Bait applied,01/28/2020 10:05:10 AM
11237.0,BAIT,Monitoring visit,01/29/2020 11:02:00 AM
11385.0,BAIT,Bait applied,01/30/2020 10:50:58 AM
11205.0,BAIT,Bait applied,02/25/2020 11:41:49 AM
11205.0,BAIT,Bait applied,02/05/2020 09:15:27 AM
10009.0,BAIT,Bait applied,01/21/2020 08:35:08 AM
11385.0,BAIT,Bait applied,02/05/2020 11:18:10 AM
11101.0,BAIT,Bait applied,01/17/2020 10:52:00 AM
10453.0,STOPPAGE,Stoppage done,03/06/2020 02:12:52 PM
11217.0,BAIT,Bait applied,02/05/2020 11:25:49 AM
11221.0,BAIT,Bait applied,02/06/2020 11:12:39 AM
11221.0,BAIT,Bait applied,07/17/2020 11:15:00 AM
11385.0,BAIT,Bait applied,02/24/2020 12:15:12 PM
11216.0,BAIT,Bait applied,02/07/2020 09:53:51 AM
11203.0,BAIT,Bait applied,02/18/2020 01:40:18 PM
10003.0,BAIT,Monitoring visit,02/11/2020 10:30:20 AM
11101.0,BAIT,Bait applied,01/17/2020 11:50:00 AM
10029.0,BAIT,Bait applied,01/24/2020 10:05:27 AM
11221.0,BAIT,Bait applied,02/06/2020 10:50:00 AM
10035.0,BAIT,Bait applied,01/24/2020 01:05:15 PM
11235.0,BAIT,Bait applied,02/11/2020 10:55:07 AM
10002.0,BAIT,Bait applied,02/04/2020 11:30:00 AM
11101.0,BAIT,Bait applied,02/03/2020 12:15:00 PM
10035.0,BAIT,Bait applied,02/06/2020 10:10:15 AM
11101.0,BAIT,Bait applied,01/17/2020 10:52:00 AM
10029.0,BAIT,Monitoring visit,02/06/2020 11:50:15 AM
10002.0,BAIT,Bait applied,02/04/2020 11:30:00 AM
11378.0,BAIT,Bait applied,02/12/2020 12:40:39 PM
11237.0,BAIT,Monitoring visit,01/29/2020 11:02:00 AM
11238.0,BAIT,Bait applied,01/28/2020 12:25:44 PM
10002.0,BAIT,Bait applied,02/04/2020 11:30:00 AM
11237.0,BAIT,Monitoring visit,07/22/2020 08:45:33 AM
10030.0,BAIT,Bait applied,07/09/2020 12:43:23 PM
10454.0,Initial,Rat Activity,02/18/2020 02:57:00 PM
11221.0,BAIT,Bait applied,02/03/2020 11:05:42 AM
11221.0,BAIT,Monitoring visit,07/27/2020 10:13:00 AM
11215.0,BAIT,Bait applied,07/13/2020 11:07:00 AM
11235.0,BAIT,Bait applied,02/11/2020 10:55:07 AM
10002.0,BAIT,Bait applied,01/21/2020 08:25:21 AM
11225.0,BAIT,Bait applied,02/18/2020 11:45:00 AM
11237.0,BAIT,Bait applied,02/18/2020 01:45:00 PM
10033.0,Compliance,Rat Activity,01/22/2020 01:51:00 PM
11226.0,BAIT,Bait applied,02/13/2020 11:40:00 AM
11372.0,BAIT,Bait applied,02/18/2020 11:40:05 AM
10027.0,BAIT,Monitoring visit,02/24/2020 11:10:52 AM
11221.0,BAIT,Bait applied,02/06/2020 10:07:00 AM
10458.0,STOPPAGE,Stoppage done,03/06/2020 02:12:51 PM
11213.0,BAIT,Bait applied,10/15/2020 09:45:00 AM
10029.0,BAIT,Bait applied,01/24/2020 10:05:27 AM
11205.0,BAIT,Bait applied,02/05/2020 10:50:19 AM
11233.0,BAIT,Monitoring visit,07/17/2020 08:19:00 AM
11205.0,BAIT,Monitoring visit,07/20/2020 08:37:00 AM
11201.0,BAIT,Bait applied,02/05/2020 01:15:09 PM
11237.0,BAIT,Bait applied,02/18/2020 01:45:00 PM
11206.0,BAIT,Bait applied,01/27/2020 11:55:49 AM
11216.0,BAIT,Bait applied,02/05/2020 11:10:44 AM
11216.0,BAIT,Bait applied,07/17/2020 10:50:00 AM
11211.0,BAIT,Bait applied,01/27/2020 11:30:00 AM
11206.0,BAIT,Bait applied,02/12/2020 09:00:01 AM
11385.0,BAIT,Bait applied,02/24/2020 12:35:47 PM
11221.0,BAIT,Bait applied,01/29/2020 03:36:46 PM
10029.0,BAIT,Bait applied,01/24/2020 12:45:15 PM
11238.0,Initial,Rat Activity,02/19/2020 11:40:00 AM
11101.0,BAIT,Bait applied,02/03/2020 12:15:00 PM
11205.0,BAIT,Bait applied,02/05/2020 09:15:27 AM
11219.0,BAIT,Bait applied,02/10/2020 12:10:09 PM
10027.0,BAIT,Monitoring visit,02/24/2020 11:10:52 AM
10028.0,BAIT,Bait applied,01/29/2020 09:37:00 AM
11206.0,BAIT,Monitoring visit,02/14/2020 12:16:00 AM
10002.0,BAIT,Bait applied,01/21/2020 08:25:21 AM
11385.0,BAIT,Bait applied,02/05/2020 11:18:10 AM
11216.0,BAIT,Bait applied,07/17/2020 10:40:00 AM
10003.0,BAIT,Monitoring visit,02/11/2020 10:30:20 AM
11221.0,BAIT,Bait applied,07/20/2020 10:10:06 AM
11419.0,Initial,Passed,03/02/2020 03:55:36 PM
11004.0,Initial,Passed,11/20/2020 10:50:00 AM
11210.0,Initial,Rat Activity,11/19/2020 09:50:51 AM
11433.0,Initial,Rat Activity,02/06/2020 02:10:38 PM
11435.0,Compliance,Passed,01/03/2020 02:40:39 PM
10029.0,Initial,Passed,01/07/2020 10:40:04 AM
10455.0,Initial,Rat Activity,11/13/2020 11:00:46 AM
11206.0,Compliance,Failed for Other R,01/24/2020 11:23:07 AM
11106.0,Initial,Passed,10/23/2020 10:48:31 AM
11370.0,Initial,Failed for Other R,10/28/2020 08:30:00 AM
11434.0,Initial,Passed,02/03/2020 11:10:53 AM
10025.0,Initial,Rat Activity,06/26/2020 12:15:27 PM
10025.0,Initial,Passed,01/29/2020 04:16:00 PM
10001.0,Initial,Passed,11/18/2020 10:29:24 AM
11207.0,Compliance,Failed for Other R,12/31/2020 12:54:00 PM
10027.0,Initial,Passed,11/16/2020 01:30:34 PM
11207.0,Initial,Failed for Other R,11/12/2020 10:15:00 AM
11691.0,Initial,Passed,02/19/2020 09:55:00 AM
11432.0,Initial,Passed,07/22/2020 10:00:08 AM
11385.0,Initial,Rat Activity,03/06/2020 04:05:20 PM
10451.0,BAIT,Monitoring visit,02/18/2020 10:55:08 AM
11385.0,Compliance,Passed,01/23/2020 09:30:00 AM
11433.0,Compliance,Passed,02/07/2020 03:00:43 PM
11385.0,Initial,Passed,02/14/2020 04:15:00 PM
10010.0,Initial,Failed for Other R,11/12/2020 11:55:00 AM
11379.0,Initial,Rat Activity,11/12/2020 09:00:37 AM
10027.0,Initial,Passed,11/13/2020 10:00:38 AM
